asos_sozlar,soz_turkumi
kitob,ot
bola,ot
uy,ot
ota,ot
ona,ot
o'qituvchi,ot
dars,ot
maktab,ot
o'quvchi,ot
sinxona,ot
yil,ot
oy,ot
kun,ot
tong,ot
kecha,ot
yo'l,ot
ko'z,ot
quloq,ot
burun,ot
og'iz,ot
bosh,ot
qo'l,ot
oyoq,ot
yurak,ot
mashina,ot
do'kon,ot
bozor,ot
daraxt,ot
gul,ot
suv,ot
shahar,ot
qishloq,ot
tog',ot
ko'l,ot
hayvon,ot
qush,ot
kit,ot
baliq,ot
sigir,ot
it,ot
mushuk,ot
daryo,ot
soat,ot
telefon,ot
kompyuter,ot
qalam,ot
daftar,ot
stol,ot
kursi,ot
deraza,ot
eshik,ot
devor,ot
osmon,ot
quyosh,ot
dala,ot
yulduz,ot
shamol,ot
yomg'ir,ot
qor,ot
maktub,ot
maktab,ot
hikoya,ot
olti,son
yuz,son
ming,son
ajoyib,sifat
yaxshi,sifat
boshqa,olmosh
yomon,sifat
aql,ot
olma,ot
behi,ot
anor,ot
kel,fe'l
ket,fe'l
bor,fe'l
qalam,ot
tez,sifat
yugurmoq,fe'l
men,olmosh
sen,olmosh
ko'k,sifat
kitobxona,ot
o'qituvchi,ot
yangi,sifat
go'zal,sifat
ishlamoq,fe'l
ko'rmoq,fe'l
bor,fe'l
yoq,fe'l
katta,sifat
kichik,sifat
bir,son
ikki,son
uch,son
shirin,sifat
achchiq,sifat
tezlik,ot
uy,ot
bog',ot
gul,ot
daraxt,ot
qush,ot
uchmoq,fe'l
ovqat,ot
ichmoq,fe'l
yemoq,fe'l
o'rgan,fe'l
yozmoq,fe'l
o'ynash,fe'l
kulmoq,fe'l
yig'lamoq,fe'l
oq,sifat
qora,sifat
yashil,sifat
sariq,sifat
qizil,sifat
biz,olmosh
siz,olmosh
ular,olmosh
sovuq,sifat
issiq,sifat
tinch,sifat
shovqinli,sifat
baland,sifat
past,sifat
chiroy,ot
chiroyli,sifat
parta,ot
stul,ot
stol,ot
kulrang,sifat
doska,ot
marker,ot
qulf,ot
saraton,ot
shippak,ot
dangasa,ot
u,olmosh
bu,olmosh
anavi,olmosh
boshqa,olmosh
suyak,ot
dazmol,ot
kiyim,ot
muqova,ot